 Stg  TypeStg      Time/Vol   TotReturnSI     LayerSI01     LayerSI02     LayerSI03      WellSI01      WellSI02      WellSI03        Wprd01        Wprd02        Wprd03        Temp01        Temp02        Temp03
   2        2        0.6792        0.0000        2.2187        3.3599        1.0603        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.6833        0.0000        2.2180        3.3591        1.0600        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.6875        0.0000        2.2174        3.3582        1.0596        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.6917        0.0000        2.2168        3.3573        1.0593        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.6958        0.0000        2.2161        3.3565        1.0589        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.7000        0.0000        2.2155        3.3556        1.0586        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.7042        0.0000        2.2148        3.3548        1.0582        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.7083        0.0000        2.2142        3.3539        1.0579        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   3        5        0.7125        0.0000        2.8545        4.1337        1.7200        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   3        5        0.7167        0.0000        3.5548        4.9677        2.4231        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   3        5        0.7208        0.0000        4.1687        5.6806        3.0287        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   3        5        0.7250        0.0000        4.7134        6.2974        3.5605        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   3        5        0.7292        0.0000        5.2009        6.8359        4.0333        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
